Número do alimento,Descrição do alimento,Umidade (%),Energia (kcal),Proteína (g),Carboidrato (g),Categoria do Alimento
1,"Arroz integral cozido","70.10%",124,"2.6","25.8",Cereais e derivados
7,"Aveia flocos crua","9.10%",397,"13.9","66.6",Cereais e derivados
8,"Biscoito doce maisena","3.20%",443,"8.1","75.2",Cereais e derivados
16,"Bolo chocolate pronto","19.30%",410,"6.2","54.7",Cereais e derivados
19,"Canjica branca crua","13.60%",358,"7.2","78.1",Cereais e derivados
23,"Cereais mingau milho infantil","4.70%",394,"6.4","87.3",Cereais e derivados
27,"Creme de arroz pó","7.30%",386,"7.0","83.9",Cereais e derivados
28,"Creme de milho pó","5.70%",333,"4.8","86.1",Cereais e derivados
35,"Farinha de trigo","13.00%",360,"9.8","75.1",Cereais e derivados
37,"Lasanha massa fresca cozida","59.60%",164,"5.8","32.5",Cereais e derivados
40,"Macarrão trigo cru","10.20%",371,"10.0","77.9",Cereais e derivados
45,"Milho verde enlatado drenado","76.20%",98,"3.2","17.1",Cereais e derivados
65,"Abóbora cabotian, cozida","86.40%",48,"1.4","10.8","Verduras, hortaliças e derivados"
70,"Abobrinha italiana, cozida","95.30%",15,"1.1",3,"Verduras, hortaliças e derivados"
74,"Acelga crua","93.20%",21,"1.4","4.6","Verduras, hortaliças e derivados"
78,"Alface crespa, crua","96.10%",11,"1.3","1.7","Verduras, hortaliças e derivados"
90,"Batata frita, tipo chips, industrializada","2.70%",543,"5.6","51.2","Verduras, hortaliças e derivados"
97,"Beterraba cozida","90.60%",32,"1.3","7.2","Verduras, hortaliças e derivados"
109,"Cenoura cozida","91.70%",30,"0.8","6.7","Verduras, hortaliças e derivados"
113,"Chuchu cru","94.80%",17,"0.7","4.1","Verduras, hortaliças e derivados"
116,"Couve manteiga refogada","81.50%",90,"1.7","8.7","Verduras, hortaliças e derivados"
117,"Couve-flor","92.80%",23,"1.9","4.5","Verduras, hortaliças e derivados"
129,"Mandioca cozida","68.70%",125,"0.6","30.1","Verduras, hortaliças e derivados"
137,"Nabo cru","93.80%",18,"1.2","4.1","Verduras, hortaliças e derivados"
140,"Pão de queijo assado","33.70%",363,"5.1","34.2","Verduras, hortaliças e derivados"
149,"Repolho branco cru","94.70%",17,"0.9","3.9","Verduras, hortaliças e derivados"
157,"Tomate com semente cru","95.10%",15,"1.1","3.1","Verduras, hortaliças e derivados"
175,"Banana da terra crua","63.90%",128,"1.4","33.7","Frutas e derivados"
183,"Cacau cru","79.20%",74,1,"19.4","Frutas e derivados"
207,"Kiwi cru","85.90%",51,"1.3","11.5","Frutas e derivados"
221,"Maçã argentina com casca crua","82.60%",63,"0.2","16.6","Frutas e derivados"
235,"Melancia crua","90.70%",33,"0.9","8.1","Frutas e derivados"
250,"Tamarindo cru","22.00%",276,"3.2","72.5","Frutas e derivados"
